Gene Description,Gene Accession Number,39,call,40,call,41,call,42,call,43,call,44,call,45,call,46,call,47,call,48,call,49,call,50,call,51,call,52,call,53,call,54,call,55,call,56,call,57,call,58,call,59,call,60,call,61,call,62,call,63,call,64,call,65,call,66,call,67,call,68,call,69,call,70,call,71,call,72,call
ADD2 Adducin 2 (beta) {alternative products},U43959_at,-374,A,-319,A,-197,A,-121,A,-204,A,-176,A,-285,A,-147,A,-132,A,-288,A,-319,A,-514,A,-396,A,-227,A,-311,A,-283,A,-232,A,-79,A,-96,A,-219,A,-218,A,-285,A,-418,A,-407,A,-265,A,-349,A,-392,A,-147,A,-246,A,-226,A,-138,A,-163,A,-267,A,-321,A
ANK3 Ankyrin 3; node of Ranvier (ankyrin G),U43965_at,127,A,300,A,198,A,305,P,353,P,154,P,136,P,235,P,84,A,279,P,393,P,256,A,307,A,129,A,304,P,149,A,169,P,388,A,143,A,275,A,193,A,176,A,203,A,282,A,255,A,493,A,278,A,113,A,231,P,302,P,218,A,258,A,246,M,227,A
GB DEF = Thyrotroph embryonic factor (TEF) mRNA,U44059_at,1004,A,658,A,563,P,822,A,526,P,524,A,587,A,544,P,714,P,930,A,1616,A,1228,A,1202,A,515,A,1004,A,717,A,559,A,1084,A,369,M,1264,P,488,A,731,P,784,A,820,A,987,A,1778,A,672,M,367,A,550,A,616,A,814,A,555,A,878,A,1050,A
Homeodomain protein (Prox 1) mRNA,U44060_at,-77,A,-125,A,-59,A,-37,A,2,A,-166,A,-87,A,-18,A,-46,A,-107,A,-153,A,-100,A,-98,A,-89,A,-210,A,-28,A,-169,A,-141,A,-74,A,-55,A,-12,A,-72,A,-28,A,-169,A,-108,A,-306,A,-76,A,6,A,-20,A,-48,A,-105,A,-40,A,-17,A,-95,A
Histamine N-methyltransferase,U44111_at,7,A,76,A,-39,A,16,A,16,A,10,A,-12,A,-1,A,-27,A,23,A,101,P,93,A,44,A,139,P,24,A,20,A,-12,A,108,A,51,A,-58,A,88,A,69,A,56,A,76,A,308,P,103,A,0,A,26,A,49,A,9,A,12,A,34,P,12,A,34,A
Homozygous deletion target in pancreatic carcinoma (DPC4) mRNA,U44378_at,72,A,139,P,65,A,124,P,177,P,53,A,108,P,180,P,14,A,304,P,205,P,94,P,94,P,19,A,218,P,215,P,144,P,177,P,121,P,129,A,122,A,104,A,39,A,88,P,115,P,203,P,71,A,78,A,200,P,267,P,312,P,102,P,63,A,146,P
D53 (hD53) mRNA,U44429_at,-168,A,-76,A,0,A,-128,A,-31,A,-87,A,-110,A,-8,A,-140,A,-134,A,-290,A,-169,A,-104,A,-122,A,-40,A,-10,A,-49,A,-100,A,-84,A,-225,A,-53,A,-79,A,-158,A,-159,A,-77,A,-192,A,-206,A,-45,A,-94,A,-54,A,-47,A,12,A,-52,A,-115,A
PSE-binding factor PTF gamma subunit mRNA,U44754_at,38,A,114,P,169,P,85,P,134,P,53,A,54,A,111,P,153,P,369,P,158,P,136,P,104,P,10,A,159,P,174,P,122,P,167,P,39,A,-55,A,25,A,57,A,143,P,139,P,87,A,292,P,105,P,132,P,132,P,296,P,197,P,66,A,95,M,153,P
PSE-binding factor PTF delta subunit mRNA,U44755_at,378,A,589,A,626,P,392,P,632,M,478,A,188,A,515,A,172,A,348,P,958,A,521,A,490,A,229,A,876,P,400,A,371,P,270,M,90,A,791,P,490,P,337,P,574,M,576,P,460,A,712,A,350,P,352,A,314,P,479,P,346,P,481,A,414,P,401,P
Palmitoyl protein thioesterase mRNA,U44772_at,135,P,341,P,234,P,423,P,199,P,167,P,142,P,187,P,231,P,631,P,349,P,263,P,255,P,492,P,571,P,866,P,247,P,185,P,455,P,482,P,48,A,426,P,296,P,674,P,1295,P,303,P,256,P,254,P,269,P,115,A,524,P,170,P,322,P,403,P
Putative ubiquitin C-terminal hydrolase (UHX1) mRNA,U44839_at,3915,P,4602,P,3158,P,4048,P,2838,P,2864,P,2445,P,3293,P,2946,P,7119,P,6830,P,4400,P,4469,P,2843,P,5285,P,3618,P,4019,P,3991,P,2500,P,3922,P,4064,P,2780,P,4118,P,3764,P,3869,P,8493,P,2457,P,2269,P,2922,P,2690,P,4641,P,2425,P,3190,P,3594,P
GB DEF = Nuclear respiratory factor 1 (NRF-1) mRNA; 3' UTR,U44848_at,178,A,234,A,3,A,286,A,300,A,223,P,85,A,150,A,75,A,296,P,565,A,191,A,325,P,-44,A,318,A,159,A,187,A,231,A,49,A,-222,A,155,A,133,A,288,A,101,A,69,A,284,A,75,A,49,A,143,A,55,A,266,A,170,A,200,A,254,A
DNA-binding protein CPBP (CPBP) mRNA; partial cds,U44975_at,3748,P,765,P,250,A,3260,P,668,P,72,A,2952,P,1313,P,781,P,848,P,1708,P,3060,P,1343,P,410,P,3740,P,695,P,209,A,5,A,-3,A,1350,P,-17,A,220,A,4100,P,757,P,2407,P,1539,P,2748,P,299,P,2342,P,2031,P,3394,P,2120,P,4738,P,2723,P
Specific 116-kDa vacuolar proton pump subunit (OC-116KDa) mRNA,U45285_at,808,A,825,A,147,A,-192,A,-408,A,-35,A,-32,A,176,A,256,P,-171,A,1312,A,1226,P,378,A,2430,P,147,A,1342,P,-52,A,-185,A,400,A,1282,P,437,P,1138,P,1159,A,4696,P,3623,P,4063,P,1256,P,-210,A,19,M,40,A,65,P,114,A,367,M,-37,A
X-linked inhibitor of apotosis protein XIAP mRNA,U45880_at,-130,A,57,A,39,A,157,A,-163,A,57,A,83,A,127,A,-25,A,118,A,237,A,57,A,74,A,20,A,172,A,40,A,54,A,5,A,17,A,163,A,17,A,52,A,84,A,-127,A,135,A,56,A,83,A,-134,A,72,A,60,A,172,A,-55,A,-101,A,109,A
Neuronal membrane glycoprotein M6b mRNA; partial cds,U45955_at,-2,A,80,A,259,P,27,A,72,A,74,A,572,P,427,P,210,P,297,P,-4,A,79,A,26,A,32,A,93,A,46,A,84,A,-77,A,17,A,-170,A,88,A,82,A,-15,A,50,A,-7,A,62,A,-34,A,-34,A,19,A,548,P,250,P,-12,A,40,A,42,A
Phosphatidylinositol (4;5)bisphosphate 5-phosphatase homolog mRNA; partial cds,U45973_at,531,A,955,A,477,A,1408,A,540,A,778,A,465,M,626,A,460,A,575,A,730,A,1569,P,1379,M,851,A,1508,A,1516,A,591,A,502,A,1138,A,862,A,650,A,1002,A,955,A,516,A,842,A,268,A,965,A,312,A,1280,P,1267,P,895,P,338,A,748,P,1123,M
Phosphatidylinositol (4;5) bisphosphate 5-phosphatase homolog mRNA; partial cds,U45974_at,970,M,1364,P,450,P,1101,A,247,A,495,P,761,A,395,P,647,M,1053,P,928,A,462,A,891,A,782,P,1413,A,720,P,836,A,270,A,444,A,760,A,734,P,713,P,1189,A,1376,A,1487,A,2502,P,692,A,199,A,380,A,1341,P,646,P,566,P,847,P,1087,P
Phosphatidylinositol (4;5)bisphosphate 5-phosphatase homolog mRNA; partial cds,U45975_at,1687,P,1152,A,796,P,1377,P,891,P,996,P,1011,P,892,P,1441,P,1110,P,2092,P,973,P,1333,P,561,P,1783,P,1429,P,1046,P,1854,P,1039,P,1434,P,1103,P,918,P,843,M,1017,M,1302,P,1756,P,720,P,725,P,866,P,880,P,1214,P,1002,P,1011,P,1139,P
Clathrin assembly protein lymphoid myeloid leukemia (CALM) mRNA,U45976_at,-41,A,279,P,61,P,297,P,247,P,217,P,153,P,160,P,195,P,45,A,44,A,563,P,321,P,75,P,640,P,14,A,-89,A,139,A,51,A,46,A,2,A,91,P,86,P,23,A,208,A,243,A,74,A,158,P,219,P,306,P,331,P,116,P,61,P,106,A
GB DEF = G protein-coupled receptor GPR-9-6 gene,U45982_at,1158,P,895,A,407,A,665,P,588,A,588,A,708,A,423,A,643,M,609,A,1300,A,818,A,826,A,641,A,1092,P,815,A,736,P,950,A,243,A,1134,P,752,P,747,P,877,A,926,P,1185,P,1087,A,564,A,356,P,806,P,735,P,738,A,569,A,779,P,706,A
GB DEF = CCR8 chemokine receptor (CMKBR8) gene,U45983_at,-50,A,-45,A,-46,A,-76,A,-91,A,-71,A,-116,A,-43,A,-56,A,-62,A,-51,A,-93,A,-4,M,-18,A,-40,A,-151,A,-49,A,-100,A,-23,A,-231,A,33,A,-42,A,-15,A,13,A,-43,A,8,A,-68,A,23,A,-51,A,-24,A,6,A,-58,A,-57,A,-41,A
Xq28 mRNA,U46023_at,449,A,231,A,136,A,229,A,177,A,163,A,144,A,64,A,136,A,206,A,404,A,347,A,235,A,213,A,350,A,257,A,197,A,450,A,318,P,318,A,162,A,137,A,290,A,196,A,294,A,558,A,449,A,108,A,222,A,127,A,217,A,133,A,269,A,270,A
MTM1 Myotubular myopathy 1,U46024_at,45,A,-2,A,128,P,35,A,-62,A,-4,A,-29,A,30,A,73,A,200,P,-8,A,-21,A,-4,A,-16,A,32,A,49,A,22,A,51,A,39,A,157,P,76,A,-41,A,8,A,30,A,64,A,151,A,-3,A,13,A,-14,A,264,P,106,P,20,A,29,A,15,A
Chromosome 16p11.2 BAC Clone CIT987SK-234F9 complete sequence,U46025_at,2887,P,2266,P,4070,P,1368,P,1581,P,1881,P,1683,P,2616,P,2080,P,2764,P,216,P,2168,P,1500,P,1550,P,2578,P,1323,P,2955,P,2227,P,2091,P,843,P,2468,P,1421,P,1881,P,3211,P,5298,P,1683,P,2442,P,3662,P,2527,P,4346,P,2572,P,2925,P,1594,P,1231,P
PTPRG Protein tyrosine phosphatase; receptor type; gamma polypeptide,U46116_at,-45,A,61,A,-12,A,-24,A,-40,A,-22,A,-30,A,-11,A,-12,A,-3,A,-9,A,-46,A,32,A,0,A,-131,A,42,A,2,A,-82,A,56,A,-12,A,-30,A,-28,A,28,A,34,A,19,A,-2,A,-40,A,-30,A,-12,A,14,A,-23,A,23,A,15,A,34,A
Renal cell carcinoma antigen RAGE-4 mRNA; complete putative cds,U46194_at,234,A,92,A,136,A,353,A,69,A,-28,A,57,A,124,M,214,A,208,A,162,A,127,A,380,A,40,A,415,A,99,A,289,A,260,A,41,A,306,A,188,A,41,A,117,A,345,A,121,A,493,A,203,A,152,A,286,A,262,A,133,A,69,A,271,A,157,A
GB DEF = Dishevelled homolog (DVL) mRNA,U46461_at,243,A,-202,A,212,M,127,A,153,A,93,A,-17,A,414,A,218,A,289,A,374,A,326,A,251,A,-312,A,454,A,-90,A,314,A,651,A,123,A,173,A,160,A,139,A,236,A,196,A,181,A,355,A,296,A,141,A,46,A,271,A,163,A,117,A,356,A,573,A
GLUTATHIONE S-TRANSFERASE; MICROSOMAL,U46499_at,91,A,70,A,45,A,24,A,165,P,-87,A,14,A,-15,A,63,A,70,A,92,A,1582,P,1269,P,892,P,1233,P,643,P,27,A,167,M,1267,P,1480,P,38,A,1568,P,3166,P,1121,P,2767,P,1415,P,1550,P,163,P,38,A,1,A,34,A,43,A,-2,A,94,P
Aquaporin-5 (AQP5) gene,U46569_at,289,A,847,A,258,A,341,P,218,A,260,A,448,A,319,A,42,A,430,P,715,A,464,P,913,P,441,A,699,P,24,A,429,A,527,P,198,A,367,P,218,A,261,P,238,P,722,P,328,P,1035,A,703,A,293,A,648,P,534,A,491,P,394,A,423,P,699,P
Tetratricopeptide repeat protein (tpr1) mRNA,U46570_at,2336,P,1813,A,1790,P,1701,P,1439,A,1595,P,1662,P,1445,P,1456,P,3273,P,3189,P,1963,A,1460,P,1416,P,1697,A,1897,P,1817,P,2423,P,1259,P,1693,P,1047,A,1279,A,1493,A,2506,P,2918,P,3825,P,1138,M,1130,P,1305,P,2694,P,2051,P,1608,P,1635,P,1589,P
Tetratricopeptide repeat protein (tpr2) mRNA,U46571_at,50,A,225,P,294,P,323,P,175,M,124,P,-24,A,329,P,439,P,638,P,266,P,364,P,561,P,230,P,1032,P,622,P,309,P,172,A,180,P,250,A,149,A,366,P,426,P,375,A,490,P,441,M,206,P,291,P,393,P,653,P,564,P,160,A,339,P,499,P
Microsomal aldehyde dehydrogenase (ALD10) mRNA,U46689_at,-265,A,-112,A,-34,A,-277,A,-204,A,-65,A,-60,A,-40,A,-6,A,138,A,-420,A,-288,A,-110,A,49,A,-247,A,-106,A,-134,A,-149,A,-56,A,-166,A,-91,A,-76,A,-296,A,143,A,140,A,-216,A,-124,A,32,A,-39,A,-250,A,-231,A,-173,A,-184,A,-221,A
Cystatin B gene,U46692_rna1_at,231,A,1054,P,446,P,1364,P,1665,P,421,A,1322,P,976,P,563,P,5502,P,656,P,1576,P,848,P,3028,P,988,P,1836,P,546,A,661,P,288,A,1026,A,1154,P,788,P,1298,P,1753,P,2146,P,997,A,704,P,658,P,703,P,832,P,2995,P,618,P,766,P,1155,P
Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA,U46751_at,687,A,582,A,1111,P,3181,P,1288,A,974,P,726,A,938,P,1443,P,3187,P,2098,A,6793,P,7397,P,2601,P,9754,P,2380,P,1130,P,927,P,1987,P,1369,M,1026,P,1210,P,2518,P,4276,P,2381,P,3334,P,2107,P,1084,P,2977,P,3496,P,3860,P,795,A,3367,P,2730,P
Phosphotyrosine independent ligand p62B B-cell isoform for the Lck SH2 domain mRNA; partial cds,U46752_at,57,A,99,A,65,A,-49,A,7,A,-88,A,-64,A,-93,A,-107,A,73,A,-101,A,-23,A,-44,A,-75,A,47,A,43,A,67,A,-92,A,-49,A,-68,A,33,A,-17,A,-43,A,-20,A,-37,A,-59,A,47,A,10,A,5,A,-16,A,-115,A,51,A,-30,A,-11,A
Monocyte chemoattractant protein-4 precursor (MCP-4) mRNA,U46767_at,137,A,-49,A,-15,A,74,A,0,A,-29,A,-27,A,49,A,-105,A,70,A,32,A,48,A,30,A,0,A,-42,A,9,A,64,A,30,A,-53,A,49,A,0,A,60,A,67,A,-4,A,20,A,32,A,-48,A,32,A,-17,A,-3,A,31,A,69,P,65,A,18,A
SNCA Synuclein; alpha (non A4 component of amyloid precursor),U46901_at,14,P,386,P,272,P,2250,P,641,P,115,P,244,P,64,P,281,A,256,P,-9,A,162,P,339,P,62,A,115,P,148,P,79,P,97,A,-51,A,105,A,218,P,25,A,327,P,301,P,307,P,295,P,120,A,206,P,258,P,47,A,20,P,211,M,238,P,154,P
Transcriptional repressor (NAB1) NAB1 mRNA,U47007_at,53,A,83,A,3,A,-30,A,-45,A,-13,A,25,A,-14,A,21,A,15,A,1,A,50,A,10,A,2,A,43,A,68,P,2,A,12,A,7,A,3,A,68,A,-3,A,-6,A,-57,A,-16,A,-2,A,-10,A,-2,A,-43,A,6,A,22,A,3,A,-1,A,-42,A
FGF8 gene (fibroblast growth factor 8 precursor) extracted from Human fibroblast growth factor 8 (FGF8) gene,U47011_cds1_at,-253,A,-237,A,-134,A,-240,A,-209,A,-188,A,-296,A,-128,A,163,A,-230,A,-467,A,-37,A,24,A,-123,A,-100,A,-168,A,-182,A,-296,A,-21,A,-374,A,-157,A,-277,A,-329,A,-20,A,-289,A,-8,A,-157,A,-52,A,-156,A,-308,A,-183,A,-207,A,-170,A,-242,A
Putative calcium influx channel (htrp3) mRNA,U47050_at,9,A,184,A,40,A,237,A,50,A,130,A,174,A,28,A,-10,A,34,A,277,A,-64,A,-10,A,-20,A,99,A,23,A,27,A,-20,A,0,A,117,A,-25,A,4,A,-106,A,259,A,111,A,-32,A,21,A,54,A,-14,A,-74,A,252,A,64,A,44,A,205,A
Putative mono-ADP-ribosyltransferase (htMART) mRNA,U47054_at,-2,A,130,A,54,A,150,A,2,A,-174,A,-213,A,67,A,-33,A,14,A,41,A,24,A,76,A,13,A,-8,A,71,A,-19,A,51,A,229,A,-15,A,190,A,19,A,186,A,122,A,56,A,-40,A,55,A,-6,A,76,A,134,A,61,A,-80,A,53,A,138,A
NifU-like protein (hNifU) mRNA; partial cds,U47101_at,60,A,286,P,630,P,916,P,697,P,292,P,621,P,241,P,813,P,1056,P,94,A,848,P,516,P,515,P,729,P,835,P,179,P,182,P,261,P,219,P,157,A,486,P,234,P,618,P,373,P,379,P,163,A,332,P,707,P,1866,P,1655,P,163,P,1172,P,942,P
H105e3 mRNA,U47105_at,586,A,152,A,295,A,335,A,331,A,388,P,663,P,431,P,386,A,457,A,165,A,27,A,637,P,241,M,497,A,592,A,469,A,329,A,412,A,451,A,424,A,320,A,307,A,366,A,671,A,-10,A,371,A,147,P,188,A,697,P,736,P,114,A,55,A,219,A
GB DEF = Gamma aminobutyric acid receptor beta4 subunit-like mRNA; partial cds,U47334_at,308,A,509,A,226,A,294,A,216,A,148,A,202,A,77,A,300,A,360,A,467,A,323,A,480,A,214,A,380,A,218,A,262,A,334,A,233,A,423,A,76,A,223,A,283,A,141,A,240,A,382,A,378,A,108,A,170,A,330,A,116,A,150,A,205,A,206,A
Cyclin G2 mRNA,U47414_at,195,A,39,A,261,P,394,P,249,P,160,A,188,A,135,P,166,A,989,P,143,A,262,A,126,A,76,A,270,P,274,A,77,A,357,P,72,A,98,A,160,A,168,A,177,M,148,A,284,A,146,A,177,A,69,A,408,P,330,A,614,P,182,A,387,P,381,P
Nucleolar autoantigen No55 mRNA,U47621_at,-176,A,-84,A,-31,A,-327,A,-204,A,72,A,44,A,-88,A,182,A,357,A,-869,A,-151,A,345,A,-124,A,-91,A,445,A,-79,A,151,A,275,A,-111,A,-114,A,-93,A,-223,A,183,A,80,A,-656,A,-186,A,315,A,95,A,332,A,472,A,-72,A,149,A,203,A
TUBB Beta-tubulin,U47634_at,468,A,562,A,424,A,716,A,295,A,388,A,212,A,414,A,468,A,529,A,877,A,990,A,442,A,630,A,860,A,929,A,309,A,651,A,418,A,676,A,381,A,716,A,422,A,604,A,585,A,1553,A,523,A,56,A,277,A,315,A,358,A,309,A,485,A,478,A
D13S824E locus mRNA,U47635_at,94,A,327,P,242,P,211,P,197,P,118,P,180,A,59,P,6,A,64,P,384,A,293,P,358,P,162,P,779,P,160,P,272,A,283,P,127,A,-80,A,109,A,106,P,145,P,335,P,241,P,338,P,323,P,97,A,494,P,350,P,102,P,15,A,457,P,827,P
Monocytic leukaemia zinc finger protein (MOZ) mRNA,U47742_at,799,P,1076,P,687,P,824,P,574,P,742,P,426,P,453,P,434,P,733,P,777,P,784,P,746,P,292,P,1420,P,235,A,376,P,515,P,253,A,519,A,317,P,293,P,318,M,581,P,485,P,376,A,536,P,271,P,688,P,748,P,1124,P,459,P,705,P,1062,P
Unknown protein B mRNA,U47926_at,-499,A,-954,A,-81,A,-747,A,-817,A,-146,A,-414,A,-245,A,-445,A,-170,A,-733,A,-469,A,-460,A,-262,A,-479,A,-291,A,-152,A,-790,A,-251,A,-544,A,-541,A,-141,A,-231,A,-500,A,-557,A,-1152,A,-245,A,-291,A,-329,A,-105,A,-75,A,-176,A,-47,A,-333,A
UBIQUITIN CARBOXYL-TERMINAL HYDROLASE T,U47927_at,446,A,105,A,281,A,215,A,-129,A,606,P,423,P,218,P,178,A,620,A,614,A,324,A,293,A,523,P,88,A,233,A,576,A,463,A,322,A,262,A,360,A,207,A,435,A,363,A,265,A,325,A,199,A,354,P,220,A,733,P,855,M,340,P,512,M,358,A
Protein A alternatively spliced form 2 (A-2) mRNA,U47928_at,-113,A,33,A,-117,A,-225,A,-211,A,-16,A,-223,A,-38,A,-149,A,-166,A,-273,A,-152,A,-124,A,-51,A,-224,A,-26,A,2,A,-18,A,-137,A,-92,A,-122,A,-82,A,-199,A,16,A,86,A,-18,A,-193,A,-60,A,-207,A,-146,A,-160,A,-153,A,-485,A,-57,A
GB DEF = G-protein beta-3 subunit alternatively spliced form mRNA sequence,U47931_at,1436,A,1100,A,757,A,840,A,233,A,724,A,464,A,765,A,451,A,692,A,1290,A,1458,A,1289,A,554,A,1677,A,654,A,649,A,1130,A,799,A,568,A,1260,A,309,A,767,A,901,A,1770,A,1935,A,1553,A,306,A,519,A,642,A,354,A,505,A,710,A,773,A
DBP Albumin D-box binding protein,U48213_at,-1095,A,-562,A,-605,A,-754,A,-1062,A,-567,A,-630,A,-723,A,-367,A,-295,A,-1604,A,-1533,A,-462,A,-327,A,-817,A,-685,A,-376,A,-664,A,-450,A,-1047,A,-1019,A,-390,A,-1345,A,-637,A,-848,A,-1260,A,-575,A,-76,A,-588,A,-12,A,24,A,-730,A,-198,A,-711,A
Bradykinin receptor B1 subtype mRNA,U48231_at,82,A,-61,A,-25,A,4,A,7,A,-34,A,49,A,4,A,-58,A,-64,A,122,M,125,A,56,A,1,A,205,A,46,A,289,A,285,A,9,A,61,A,22,A,52,A,-52,A,32,A,279,A,46,A,-71,A,-91,A,-39,A,24,A,47,A,38,A,43,A,287,A
Protein kinase C-binding protein RACK17 mRNA; partial cds,U48250_at,-79,A,-89,A,0,A,-30,A,-7,A,-19,A,-99,A,-44,A,63,A,-91,A,-159,A,49,A,12,A,49,A,-198,A,31,A,-27,A,-18,A,-56,A,-194,A,-22,A,33,A,-173,A,-48,A,27,A,-206,A,-87,A,-43,A,-126,A,-148,A,-25,A,-57,A,16,A,-118,A
Protein kinase C-binding protein RACK7 mRNA; partial cds,U48251_at,656,P,830,P,1142,P,1183,P,588,P,929,P,331,P,271,P,504,P,870,P,1309,P,156,P,98,A,34,A,149,A,550,P,661,P,610,P,355,P,250,A,307,P,513,P,444,P,697,P,448,A,2485,P,190,A,339,P,249,A,765,P,685,P,535,P,859,P,1154,P
Pre-pro-orphanin FQ (OFQ) mRNA,U48263_at,528,A,850,P,244,A,363,P,603,A,284,A,297,A,212,A,117,A,420,A,605,P,499,A,508,A,322,A,531,P,374,P,449,P,818,P,257,A,522,A,503,P,406,P,448,A,1153,P,1032,A,856,A,81,A,389,A,325,A,285,P,331,A,428,A,403,A,402,A
Protein tyrosine phosphatase PTPCAAX1 (hPTPCAAX1) mRNA,U48296_at,470,P,250,P,219,P,583,P,216,A,182,A,392,P,350,P,544,P,970,P,263,A,469,P,539,P,163,P,886,P,344,A,212,P,177,A,161,A,401,P,76,A,329,P,708,P,502,P,546,P,382,A,961,P,556,P,991,P,603,P,1149,P,205,P,896,P,1343,P
GB DEF = G protein coupled receptor OGR1 gene,U48405_at,357,A,431,A,247,A,514,A,288,A,254,A,77,A,189,A,369,A,505,A,518,A,480,A,368,A,214,A,1013,A,448,A,219,A,437,A,196,A,160,A,139,A,314,A,197,A,479,A,681,A,1688,A,429,A,254,A,239,A,181,A,272,A,230,A,358,A,398,A
Kidney water channel (hKID) mRNA,U48408_at,1098,A,891,P,477,A,937,A,254,A,729,A,485,A,321,A,516,A,1251,A,1421,A,736,A,623,A,690,A,1566,A,709,A,816,A,1117,A,666,P,1313,M,406,A,548,A,1380,A,801,A,934,A,1791,A,655,A,465,A,772,A,1130,A,1148,A,301,A,575,A,1106,A
Amyloid precursor-like protein 1 mRNA,U48437_at,441,A,404,A,284,A,171,A,115,A,109,A,-167,A,47,A,-77,A,167,A,1132,A,509,A,653,A,627,A,726,A,438,A,409,A,569,A,298,A,624,A,71,A,229,A,546,A,588,A,884,A,1103,A,416,A,91,A,181,A,-14,A,91,A,343,A,100,A,305,A
GB DEF = Mariner-like element-containing mRNA; clone pcHMT2,U48697_at,-277,A,-639,A,-234,A,-240,A,-355,A,-561,A,-427,A,-228,A,-105,A,-199,A,-465,A,-262,A,-349,A,-98,A,-180,A,-134,A,-342,A,-224,A,-125,A,-479,A,-116,A,-177,A,-351,A,-400,A,-167,A,-1060,A,-198,A,-54,A,-159,A,-44,A,-249,A,-154,A,-332,A,-255,A
Protein phosphatase-1 inhibitor mRNA,U48707_at,19,A,131,A,54,A,-124,A,-38,A,-477,A,-359,A,-147,A,-73,A,-153,A,-302,A,-166,A,8,A,-100,A,-99,A,-143,A,-137,A,131,A,-9,A,-30,A,15,A,-84,A,-192,A,-67,A,-24,A,-387,A,21,A,-56,A,-160,A,-176,A,57,A,-225,A,6,A,-186,A
Serine/threonine-protein kinase PRP4h (PRP4h) mRNA,U48736_at,96,P,40,A,122,A,142,P,69,A,136,A,114,A,106,A,100,A,283,P,-44,A,161,P,112,A,-83,A,206,M,144,A,17,A,10,A,-47,A,-182,A,66,A,53,A,95,A,64,A,33,A,113,A,-15,A,128,P,113,A,118,P,314,P,54,P,194,P,39,A
Dual specific protein phosphatase mRNA,U48807_at,101,A,115,A,64,A,168,A,-74,A,139,P,134,A,-2,A,79,A,63,A,203,A,186,P,154,A,60,M,82,A,3,A,97,A,5,A,104,M,108,A,68,A,87,A,110,A,104,A,376,P,-48,A,74,A,58,A,186,A,112,A,3,A,99,A,87,A,19,A
CHRNB4 Cholinergic receptor; nicotinic; beta polypeptide 4,U48861_at,-946,A,-73,A,-446,A,-949,A,-646,A,-323,A,-764,A,-241,A,-132,A,-707,A,-1155,A,-249,A,-518,A,-316,A,-571,A,-643,A,-556,A,-332,A,-662,A,-896,A,-124,A,-479,A,-762,A,-433,A,-919,A,-100,A,-423,A,-86,A,-489,A,-1218,A,-776,A,-63,A,-473,A,-1002,A
GB DEF = Amiloride-sensitive epithelial sodium channel gamma subunit mRNA; 5' end; partial cds,U48936_at,1487,A,1409,A,593,A,445,A,343,A,518,A,983,A,502,A,1132,A,567,A,2283,A,2648,A,1389,A,825,A,1764,A,963,A,868,A,1423,A,748,A,1431,A,782,A,1083,A,1189,A,1471,A,1993,A,2624,A,1338,A,399,A,865,A,910,A,1085,A,349,A,1211,A,1034,A
Myosin light chain kinase (MLCK) mRNA,U48959_at,108,A,-162,A,-150,A,-246,A,-199,A,4,A,-225,A,-2,A,-27,A,-154,A,-331,A,-240,A,-279,A,-96,A,-220,A,-207,A,-229,A,-229,A,-198,A,-126,A,-91,A,-158,A,-166,A,-257,A,-354,A,-447,A,-142,A,-97,A,-143,A,85,A,-125,A,-120,A,-73,A,-66,A
Interleukin-1 receptor-related protein mRNA,U49065_at,96,A,17,A,20,A,64,A,98,A,53,A,-12,A,119,A,-10,A,62,A,108,A,76,A,2,A,0,A,106,A,6,A,69,M,123,A,39,A,3,A,53,A,28,A,67,A,41,A,77,A,-10,A,35,A,49,A,28,A,60,A,29,A,-60,A,88,A,46,A
Peptidyl-prolyl isomerase and essential mitotic regulator (PIN1) mRNA,U49070_at,786,P,423,A,583,P,789,P,516,P,767,P,627,P,372,P,514,P,799,P,827,P,688,P,575,P,497,P,751,P,188,P,609,A,517,P,7,A,500,A,627,P,551,P,548,P,734,P,746,P,615,P,507,P,430,P,743,P,1336,P,490,P,462,P,483,P,870,P
Transporter protein (g17) mRNA,U49082_at,398,A,1160,A,226,A,461,A,427,A,268,A,257,A,239,A,542,A,671,P,901,A,486,A,462,A,262,A,711,M,456,A,284,A,355,A,389,A,333,A,335,A,474,A,195,A,1132,A,718,A,582,A,573,A,167,A,554,A,154,A,277,A,372,A,363,M,347,A
Neuroendocrine-dlg (NE-dlg) mRNA,U49089_at,337,A,743,A,206,A,284,A,233,A,155,A,216,A,238,A,325,A,325,A,507,A,249,A,476,A,91,A,675,A,372,M,74,A,334,A,106,A,404,A,322,A,277,A,398,A,875,A,734,A,864,A,444,A,339,P,275,A,348,A,308,A,179,A,204,A,305,A
Prohormone convertase 5 precursor (PC5) mRNA; partial cds,U49114_at,-89,A,-62,A,-78,A,-188,A,-185,A,-59,A,-121,A,-98,A,-172,A,-136,A,-192,A,-122,A,-156,A,-114,A,-201,A,-46,A,-87,A,-46,A,-70,A,-265,A,-218,A,-87,A,-140,A,-189,A,-225,A,-157,A,399,A,-91,A,-143,A,-180,A,-163,A,-89,A,-129,A,-119,A
Placenta (Diff48) mRNA,U49187_at,-147,A,-29,A,-256,A,-11,A,-153,A,-99,A,-127,A,-99,A,73,A,-315,A,-347,A,-226,A,-263,A,61,A,-483,A,112,A,-157,A,-290,A,-149,A,-92,A,-58,A,-125,A,-201,A,141,A,-176,A,-262,A,-294,A,-195,A,298,P,36,A,295,P,-23,A,148,A,129,A
